SNR,TPR,FPR,TTFD,Alpha (%),Feature,Window,Detection
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-2.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
0.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
0.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
