mmin,mmax,mstep,minwindowsize,ntests,eegchannel,stimlvl,method,tp,fp,tn,fn
165,240,76,75,2,Cz,50dB,cgst,0.0340909090909091,0.238636363636364,0.852272727272727,0.988636363636364
166,240,75,74,2,Cz,50dB,cgst,0.0454545454545455,0.238636363636364,0.852272727272727,0.977272727272727
167,240,74,73,2,Cz,50dB,cgst,0.0568181818181818,0.215909090909091,0.852272727272727,0.977272727272727
168,240,73,72,2,Cz,50dB,cgst,0.0568181818181818,0.25,0.852272727272727,0.965909090909091
169,240,72,71,2,Cz,50dB,cgst,0.0568181818181818,0.261363636363636,0.829545454545455,0.965909090909091
170,240,71,70,2,Cz,50dB,cgst,0.0568181818181818,0.238636363636364,0.840909090909091,0.977272727272727
171,240,70,69,2,Cz,50dB,cgst,0.0568181818181818,0.238636363636364,0.840909090909091,0.965909090909091
172,240,69,68,2,Cz,50dB,cgst,0.0454545454545455,0.227272727272727,0.840909090909091,0.954545454545455
173,240,68,67,2,Cz,50dB,cgst,0.0454545454545455,0.238636363636364,0.829545454545455,0.954545454545455
174,240,67,66,2,Cz,50dB,cgst,0.0454545454545455,0.227272727272727,0.829545454545455,0.954545454545455
175,240,66,65,2,Cz,50dB,cgst,0.0454545454545455,0.227272727272727,0.829545454545455,0.954545454545455
176,240,65,64,2,Cz,50dB,cgst,0.0454545454545455,0.227272727272727,0.829545454545455,0.954545454545455
177,240,64,63,2,Cz,50dB,cgst,0.0454545454545455,0.215909090909091,0.840909090909091,0.954545454545455
178,240,63,62,2,Cz,50dB,cgst,0.0454545454545455,0.227272727272727,0.852272727272727,0.977272727272727
179,240,62,61,2,Cz,50dB,cgst,0.0454545454545455,0.204545454545455,0.852272727272727,0.977272727272727
180,240,61,60,2,Cz,50dB,cgst,0.0454545454545455,0.204545454545455,0.852272727272727,0.977272727272727
181,240,60,59,2,Cz,50dB,cgst,0.0454545454545455,0.193181818181818,0.840909090909091,0.977272727272727
182,240,59,58,2,Cz,50dB,cgst,0.0568181818181818,0.193181818181818,0.863636363636364,0.977272727272727
183,240,58,57,2,Cz,50dB,cgst,0.0454545454545455,0.193181818181818,0.863636363636364,0.965909090909091
184,240,57,56,2,Cz,50dB,cgst,0.0454545454545455,0.193181818181818,0.863636363636364,0.965909090909091
185,240,56,55,2,Cz,50dB,cgst,0.0568181818181818,0.170454545454545,0.863636363636364,0.988636363636364
186,240,55,54,2,Cz,50dB,cgst,0.0454545454545455,0.181818181818182,0.875,0.988636363636364
187,240,54,53,2,Cz,50dB,cgst,0.0340909090909091,0.181818181818182,0.875,0.977272727272727
188,240,53,52,2,Cz,50dB,cgst,0.0340909090909091,0.181818181818182,0.875,0.977272727272727
189,240,52,51,2,Cz,50dB,cgst,0.0227272727272727,0.170454545454545,0.863636363636364,0.988636363636364
